,Date_Time,Location,Model,Label,Actual,Predict,Score
141,2023-03-18 18:00:00,CAP,OLS,Mean_PM10_EWMA,31.0,48.72,13.68
142,2023-03-19 06:00:00,CAP,OLS,Mean_PM10_EWMA,20.0,49.16,13.68
143,2023-03-19 18:00:00,CAP,OLS,Mean_PM10_EWMA,28.0,40.81,13.68
144,2023-03-20 06:00:00,CAP,OLS,Mean_PM10_EWMA,21.0,46.44,13.68
145,2023-03-20 18:00:00,CAP,OLS,Mean_PM10_EWMA,45.0,61.42,13.68
146,2023-03-21 06:00:00,CAP,OLS,Mean_PM10_EWMA,106.0,47.14,13.68
147,2023-03-21 18:00:00,CAP,OLS,Mean_PM10_EWMA,62.0,80.45,13.68
148,2023-03-22 06:00:00,CAP,OLS,Mean_PM10_EWMA,63.0,75.66,13.68
149,2023-03-22 18:00:00,CAP,OLS,Mean_PM10_EWMA,57.0,54.4,13.68
150,2023-03-23 06:00:00,CAP,OLS,Mean_PM10_EWMA,66.0,63.37,13.68
151,2023-03-23 18:00:00,CAP,OLS,Mean_PM10_EWMA,67.0,68.51,13.68
152,2023-03-24 06:00:00,CAP,OLS,Mean_PM10_EWMA,69.0,73.97,13.68
153,2023-03-24 18:00:00,CAP,OLS,Mean_PM10_EWMA,80.0,65.97,13.68
154,2023-03-25 06:00:00,CAP,OLS,Mean_PM10_EWMA,88.0,70.09,13.68
155,2023-03-25 18:00:00,CAP,OLS,Mean_PM10_EWMA,69.0,75.77,13.68
156,2023-03-26 06:00:00,CAP,OLS,Mean_PM10_EWMA,52.0,78.76,13.68
157,2023-03-26 18:00:00,CAP,OLS,Mean_PM10_EWMA,59.0,75.56,13.68
158,2023-03-27 06:00:00,CAP,OLS,Mean_PM10_EWMA,75.0,47.75,13.68
159,2023-03-27 18:00:00,CAP,OLS,Mean_PM10_EWMA,100.0,71.17,13.68
160,2023-03-28 06:00:00,CAP,OLS,Mean_PM10_EWMA,84.0,55.02,13.68
161,2023-03-28 18:00:00,CAP,OLS,Mean_PM10_EWMA,71.0,55.54,13.68
162,2023-03-29 06:00:00,CAP,OLS,Mean_PM10_EWMA,55.0,45.14,13.68
163,2023-03-29 18:00:00,CAP,OLS,Mean_PM10_EWMA,52.0,52.96,13.68
164,2023-03-30 06:00:00,CAP,OLS,Mean_PM10_EWMA,63.0,60.51,13.68
165,2023-03-30 18:00:00,CAP,OLS,Mean_PM10_EWMA,99.0,55.13,13.68
166,2023-03-31 06:00:00,CAP,OLS,Mean_PM10_EWMA,65.0,66.11,13.68
167,2023-03-31 18:00:00,CAP,OLS,Mean_PM10_EWMA,62.0,60.9,13.68
168,2023-04-01 06:00:00,CAP,OLS,Mean_PM10_EWMA,57.0,62.43,13.68
169,2023-04-01 18:00:00,CAP,OLS,Mean_PM10_EWMA,72.0,47.11,13.68
170,2023-04-02 06:00:00,CAP,OLS,Mean_PM10_EWMA,41.0,60.67,13.68
171,2023-04-02 18:00:00,CAP,OLS,Mean_PM10_EWMA,61.0,59.95,13.68
172,2023-04-03 06:00:00,CAP,OLS,Mean_PM10_EWMA,61.0,62.74,13.68
173,2023-04-03 18:00:00,CAP,OLS,Mean_PM10_EWMA,73.0,62.42,13.68
